pathway	pancancer	ontology
iron-sulfur cluster assembly	4465	Biological Process
cell redox homeostasis	4451	Biological Process
tRNA processing in the nucleus	4446	Reactome
Urea cycle	4422	Metacyc
cobalamin binding	4416	Molecular Function
Vitamin B2 (riboflavin) metabolism	4391	Reactome
CDP-diacylglycerol biosynthesis I	4385	Metacyc
Toxoflavin biosynthesis	4363	Metacyc
NADH dehydrogenase (ubiquinone) activity	4344	Molecular Function
riboflavin kinase activity	4337	Molecular Function
Peroxisomal protein import	4305	Reactome
tetrahydrofolate biosynthetic process	4295	Biological Process
Glycine degradation (Stickland reaction)	4287	Metacyc
transition metal ion binding	4272	Molecular Function
Synthesis of GDP-mannose	4261	Reactome
Urea cycle	4250	Reactome
Cysteine formation from homocysteine	4229	Reactome
proline biosynthetic process	4226	Biological Process
NAD/NADP-NADH/NADPH cytosolic interconversion (yeast)	4224	Metacyc
peptide transport	4217	Biological Process
Butyrate Response Factor 1 (BRF1) binds and destabilizes mRNA	4212	Reactome
Tristetraprolin (TTP, ZFP36) binds and destabilizes mRNA	4212	Reactome
KSRP (KHSRP) binds and destabilizes mRNA	4207	Reactome
phosphoric diester hydrolase activity	4203	Molecular Function
tricarboxylic acid cycle	4199	Biological Process
mRNA decay by 3' to 5' exoribonuclease	4199	Reactome
Synthesis of PG	4172	Reactome
Degradation of cysteine and homocysteine	4163	Reactome
Platelet degranulation	4159	Reactome
chaperone binding	4136	Molecular Function
Antimicrobial peptides	4115	Reactome
nickel cation binding	4089	Molecular Function
phosphotransferase activity, carboxyl group as acceptor	4058	Molecular Function
6-hydroxymethyl-dihydropterin diphosphate biosynthesis V (Pyrococcus)	4054	Metacyc
(aminomethyl)phosphonate degradation	4045	Metacyc
Glyphosate degradation III	4045	Metacyc
UDP-N-acetylmuramate dehydrogenase activity	4037	Molecular Function
efflux transmembrane transporter activity	4024	Molecular Function
protein homodimerization activity	4022	Molecular Function
peptidoglycan binding	4019	Molecular Function
Antigen processing: Ubiquitination & Proteasome degradation	4015	Reactome
Vitamin B5 (pantothenate) metabolism	4008	Reactome
Hedgehog 'on' state	3998	Reactome
Valine, leucine and isoleucine degradation	3991	KEGG
peptide-methionine (S)-S-oxide reductase activity	3987	Molecular Function
structural molecule activity	3984	Molecular Function
DNA-(apurinic or apyrimidinic site) endonuclease activity	3975	Molecular Function
phosphoribosylamine-glycine ligase activity	3949	Molecular Function
DNA-templated transcription, termination	3948	Biological Process
ROS and RNS production in phagocytes	3943	Reactome
adenyl-nucleotide exchange factor activity	3938	Molecular Function
CMP-3-deoxy-D-manno-octulosonate biosynthesis	3936	Metacyc
Superpathway of glyoxylate cycle and fatty acid degradation	3936	Metacyc
Ammonia assimilation cycle I	3934	Metacyc
Ammonia assimilation cycle II	3934	Metacyc
Nitrate reduction II (assimilatory)	3934	Metacyc
Nitrate reduction V (assimilatory)	3934	Metacyc
Insulin receptor recycling	3904	Reactome
Ion channel transport	3904	Reactome
Transferrin endocytosis and recycling	3904	Reactome
Cob(ii)yrinate a,c-diamide biosynthesis I (early cobalt insertion)	3880	Metacyc
L-selenocysteine biosynthesis II (archaea and eukaryotes)	3878	Metacyc
L-phenylalanine biosynthesis II	3854	Metacyc
Bacilysin biosynthesis	3848	Metacyc
L-tyrosine biosynthesis II	3848	Metacyc
L-tyrosine biosynthesis III	3848	Metacyc
glucose-6-phosphate isomerase activity	3847	Molecular Function
Glycosphingolipid metabolism	3813	Reactome
UTP and CTP dephosphorylation I	3800	Metacyc
Arg/N-end rule pathway (eukaryotic)	3779	Metacyc
NAD+ kinase activity	3778	Molecular Function
organic substance metabolic process	3770	Biological Process
Ac/N-end rule pathway	3769	Metacyc
Tetrahydrofolate biosynthesis	3769	Metacyc
C4 photosynthetic carbon assimilation cycle, PEPCK type	3761	Metacyc
Dual Incision in GG-NER	3761	Reactome
Hedgehog ligand biogenesis	3748	Reactome
L-proline biosynthesis II (from arginine)	3747	Metacyc
transsulfuration	3736	Biological Process
Metabolism of ingested SeMet, Sec, MeSec into H2Se	3736	Reactome
Guanosine nucleotides degradation III	3721	Metacyc
RNA-DNA hybrid ribonuclease activity	3714	Molecular Function
8-amino-7-oxononanoate biosynthesis I	3691	Metacyc
3-methylbutanol biosynthesis (engineered)	3682	Metacyc
Sulfolactate degradation II	3669	Metacyc
Sulfoacetaldehyde degradation I	3661	Metacyc
DNA ligase (NAD+) activity	3658	Molecular Function
aldehyde-lyase activity	3651	Molecular Function
glycine-tRNA ligase activity	3651	Molecular Function
Amino acids regulate mTORC1	3648	Reactome
Ub-specific processing proteases	3630	Reactome
glycerol metabolic process	3625	Biological Process
Norspermidine biosynthesis	3612	Metacyc
metallopeptidase activity	3608	Molecular Function
Superpathway of adenosylcobalamin salvage from cobinamide II	3608	Metacyc
D-galactose degradation I (Leloir pathway)	3593	Metacyc
Trna methylation (yeast)	3569	Metacyc
pentose-phosphate shunt	3566	Biological Process
nucleotide catabolic process	3563	Biological Process
phenylalanine-tRNA ligase activity	3555	Molecular Function
Gap-filling DNA repair synthesis and ligation in GG-NER	3555	Reactome
methylenetetrahydrofolate dehydrogenase (NADP+) activity	3543	Molecular Function
Translesion synthesis by POLK	3543	Reactome
guanosine tetraphosphate metabolic process	3542	Biological Process
Glutaminyl-trnagln biosynthesis via transamidation	3490	Metacyc
adenylosuccinate synthase activity	3481	Molecular Function
glycyl-tRNA aminoacylation	3478	Biological Process
Pyrimidine deoxyribonucleotides dephosphorylation	3474	Metacyc
protein targeting	3470	Biological Process
ADP-dependent NAD(P)H-hydrate dehydratase activity	3447	Molecular Function
porphyrin-containing compound biosynthetic process	3443	Biological Process
ligase activity, forming carbon-nitrogen bonds	3437	Molecular Function
Aminobenzoate degradation	3433	KEGG
7-(3-amino-3-carboxypropyl)-wyosine biosynthesis	3426	Metacyc
Methylwyosine biosynthesis	3426	Metacyc
The canonical retinoid cycle in rods (twilight vision)	3423	Reactome
3,8-divinyl-chlorophyllide a biosynthesis III (aerobic, light independent)	3405	Metacyc
chorismate metabolic process	3403	Biological Process
Type I lipoteichoic acid biosynthesis (S. aureus)	3386	Metacyc
pantothenate biosynthetic process	3385	Biological Process
Canavanine biosynthesis	3383	Metacyc
Nitric oxide biosynthesis II (mammals)	3383	Metacyc
Cytosolic sensors of pathogen-associated DNA	3382	Reactome
phenylalanyl-tRNA aminoacylation	3376	Biological Process
Seleno-amino acid biosynthesis (plants)	3376	Metacyc
cell morphogenesis	3372	Biological Process
chorismate synthase activity	3364	Molecular Function
L-Ndelta-acetylornithine biosynthesis	3355	Metacyc
Biotin biosynthesis from 8-amino-7-oxononanoate II	3350	Metacyc
transcription factor binding	3334	Molecular Function
Synthesis of UDP-N-acetyl-glucosamine	3332	Reactome
Lysine degradation	3329	KEGG
site-specific DNA-methyltransferase (adenine-specific) activity	3306	Molecular Function
Glycogen degradation II	3304	Metacyc
periplasmic space	3286	Cellular Component
tryptophan metabolic process	3277	Biological Process
antioxidant activity	3254	Molecular Function
TCA cycle VII (acetate-producers)	3232	Metacyc
lipoprotein biosynthetic process	3227	Biological Process
protein import	3226	Biological Process
racemase and epimerase activity, acting on carbohydrates and derivatives	3208	Molecular Function
NAD biosynthesis from 2-amino-3-carboxymuconate semialdehyde	3207	Metacyc
3-dehydroquinate biosynthesis II (archaea)	3204	Metacyc
Grixazone biosynthesis	3202	Metacyc
Spermidine biosynthesis II	3202	Metacyc
Protein SAMPylation and SAMP-mediated thiolation	3200	Metacyc
methionine biosynthetic process	3195	Biological Process
transferase activity, transferring acyl groups, acyl groups converted into alkyl on transfer	3194	Molecular Function
Adenosine nucleotides degradation I	3188	Metacyc
protein peptidyl-prolyl isomerization	3163	Biological Process
Stimuli-sensing channels	3159	Reactome
Passive transport by Aquaporins	3156	Reactome
tRNA threonylcarbamoyladenosine modification	3154	Biological Process
HIV Transcription Initiation	3152	Reactome
RNA Polymerase II HIV Promoter Escape	3152	Reactome
RNA Polymerase II Promoter Escape	3152	Reactome
RNA Polymerase II Transcription Initiation	3152	Reactome
RNA Polymerase II Transcription Initiation And Promoter Clearance	3152	Reactome
RNA Polymerase II Transcription Pre-Initiation And Promoter Opening	3152	Reactome
Transcription of the HIV genome	3152	Reactome
Formation of TC-NER Pre-Incision Complex	3147	Reactome
Transcription-Coupled Nucleotide Excision Repair (TC-NER)	3147	Reactome
NoRC negatively regulates rRNA expression	3140	Reactome
C4 photosynthetic carbon assimilation cycle, NAD-ME type	3136	Metacyc
RNA Polymerase I Promoter Escape	3132	Reactome
RNA Polymerase I Transcription Initiation	3129	Reactome
RNA Polymerase I Transcription Termination	3128	Reactome
dTMP biosynthetic process	3110	Biological Process
nucleoside triphosphate catabolic process	3110	Biological Process
endodeoxyribonuclease activity	3105	Molecular Function
helicase activity	3102	Molecular Function
Phenylalanine metabolism	3101	KEGG
signal recognition particle	3084	Cellular Component
Defective GNE causes sialuria, Nonaka myopathy and inclusion body myopathy 2	3070	Reactome
Purine deoxyribonucleosides salvage	3065	Metacyc
Vitamins B6 activation to pyridoxal phosphate	3064	Reactome
hydrolase activity, hydrolyzing N-glycosyl compounds	3063	Molecular Function
Thiamine salvage III	3060	Metacyc
nucleotide-excision repair	3054	Biological Process
DNA modification	3053	Biological Process
motor activity	3047	Molecular Function
S-adenosyl-L-methionine cycle I	3047	Metacyc
ul	3044	Metacyc
electron transport chain	3038	Biological Process
dephospho-CoA kinase activity	3036	Molecular Function
Fructose catabolism	3031	Reactome
serine-type D-Ala-D-Ala carboxypeptidase activity	3028	Molecular Function
4-amino-2-methyl-5-phosphomethylpyrimidine biosynthesis	3028	Metacyc
Drosopterin and aurodrosopterin biosynthesis	3021	Metacyc
(5Z)-dodecenoate biosynthesis II	3019	Metacyc
superoxide metabolic process	3016	Biological Process
Aggrephagy	3011	Reactome
Glycerol degradation I	3008	Metacyc
cytochrome complex assembly	3006	Biological Process
mRNA Splicing - Major Pathway	3003	Reactome
NAD salvage pathway II (PNC IV cycle)	2999	Metacyc
Estrogen-dependent gene expression	2995	Reactome
Release of Hh-Np from the secreting cell	2994	Reactome
ion transmembrane transport	2983	Biological Process
Cis-vaccenate biosynthesis	2981	Metacyc
Gondoate biosynthesis (anaerobic)	2981	Metacyc
Oleate biosynthesis IV (anaerobic)	2981	Metacyc
Palmitate biosynthesis II (bacteria and plant cytoplasm)	2981	Metacyc
Palmitoleate biosynthesis I (from (5Z)-dodec-5-enoate)	2981	Metacyc
Stearate biosynthesis II (bacteria and plants)	2981	Metacyc
Superpathway of mycolate biosynthesis	2981	Metacyc
Class B/2 (Secretin family receptors)	2977	Reactome
Activation of SMO	2974	Reactome
outer membrane-bounded periplasmic space	2973	Cellular Component
Glycine degradation	2972	Reactome
HHAT G278V abrogates palmitoylation of Hh-Np	2971	Reactome
Ligand-receptor interactions	2971	Reactome
Homologous DNA Pairing and Strand Exchange	2960	Reactome
Resolution of D-loop Structures through Synthesis-Dependent Strand Annealing (SDSA)	2960	Reactome
cell adhesion	2956	Biological Process
uroporphyrinogen-III synthase activity	2955	Molecular Function
Starch degradation V	2953	Metacyc
rRNA modification in the mitochondrion	2951	Reactome
glutathione peroxidase activity	2949	Molecular Function
mRNA Splicing - Minor Pathway	2943	Reactome
alanine transport	2939	Biological Process
alanine:sodium symporter activity	2939	Molecular Function
cytidylate kinase activity	2938	Molecular Function
Transcriptional regulation by small RNAs	2938	Reactome
RNA Polymerase III Abortive And Retractive Initiation	2934	Reactome
Viral Messenger RNA Synthesis	2932	Reactome
RNA Polymerase III Transcription Initiation From Type 1 Promoter	2931	Reactome
RNA Polymerase III Transcription Initiation From Type 2 Promoter	2931	Reactome
Erythro-tetrahydrobiopterin biosynthesis I	2930	Metacyc
Erythro-tetrahydrobiopterin biosynthesis II	2930	Metacyc
Threo-tetrahydrobiopterin biosynthesis	2930	Metacyc
4-hydroxy-tetrahydrodipicolinate reductase	2929	Molecular Function
B-WICH complex positively regulates rRNA expression	2927	Reactome
RNA Polymerase III Transcription Termination	2927	Reactome
RNA Polymerase III Transcription Initiation From Type 3 Promoter	2926	Reactome
RNA Polymerase III Chain Elongation	2925	Reactome
Activation of anterior HOX genes in hindbrain development during early embryogenesis	2921	Reactome
peptidoglycan biosynthetic process	2919	Biological Process
FGFR2 alternative splicing	2919	Reactome
Processing of Capped Intron-Containing Pre-mRNA	2919	Reactome
Signaling by FGFR2 IIIa TM	2919	Reactome
PIWI-interacting RNA (piRNA) biogenesis	2915	Reactome
glutamate-ammonia ligase activity	2904	Molecular Function
carbon-nitrogen ligase activity, with glutamine as amido-N-donor	2902	Molecular Function
calcium ion binding	2897	Molecular Function
hydro-lyase activity	2894	Molecular Function
hydroxymethylbilane synthase activity	2892	Molecular Function
5-oxo-L-proline metabolism	2883	Metacyc
Chitin derivatives degradation	2879	Metacyc
mRNA catabolic process	2877	Biological Process
The retinoid cycle in cones (daylight vision)	2875	Reactome
phosphotransferase activity, for other substituted phosphate groups	2871	Molecular Function
FAD binding	2865	Molecular Function
2-deoxy-alpha-D-ribose 1-phosphate degradation	2865	Metacyc
2-methyladeninyl adenosylcobamide biosynthesis from adenosylcobinamide-GDP	2863	Metacyc
5-hydroxybenzimidazolyl adenosylcobamide biosynthesis from adenosylcobinamide-GDP	2863	Metacyc
5-methoxy-6-methylbenzimidazolyl adenosylcobamide biosynthesis from adenosylcobinamide-GDP	2863	Metacyc
5-methoxybenzimidazolyl adenosylcobamide biosynthesis from adenosylcobinamide-GDP	2863	Metacyc
5-methylbenzimidazolyl adenosylcobamide biosynthesis from adenosylcobinamide-GDP	2863	Metacyc
Adeninyl adenosylcobamide biosynthesis from adenosylcobinamide-GDP	2863	Metacyc
Adenosylcobalamin biosynthesis from adenosylcobinamide-GDP I	2863	Metacyc
Benzimidazolyl adenosylcobamide biosynthesis from adenosylcobinamide-GDP	2863	Metacyc
DNA primase activity	2862	Molecular Function
DDX58/IFIH1-mediated induction of interferon-alpha/beta	2859	Reactome
dihydrofolate reductase activity	2851	Molecular Function
glycerone kinase activity	2841	Molecular Function
chromosome	2839	Cellular Component
intramolecular transferase activity	2824	Molecular Function
